
500,16101.562500,-2.708,0.769,-51.405 
-125.000000,-781.250000,16179.687500,-2.703,0.769,-51.405 
-203.125000,-789.062500,16015.625000,-2.708,0.775,-51.405 
-328.125000,-812.500000,15851.562500,-2.714,0.780,-51.405 
-265.625000,-804.687500,15656.250000,-2.714,0.775,-51.405 
-250.000000,-734.375000,15804.687500,-2.708,0.775,-51.405 
-242.187500,-679.687500,16289.062500,-2.703,0.775,-51.405 
-195.312500,-718.750000,16218.750000,-2.703,0.775,-51.405 
-179.687500,-742.187500,16218.750000,-2.708,0.775,-51.405 
-226.562500,-781.250000,15984.375000,-2.714,0.775,-51.405 
-281.250000,-820.312500,15757.812500,-2.714,0.775,-51.405 
-187.500000,-843.750000,15828.125000,-2.714,0.775,-51.405 
7.812500,-718.750000,16085.937500,-2.703,0.775,-51.405 
-218.750000,-664.062500,16265.625000,-2.703,0.775,-51.405 
-242.187500,-664.062500,16226.562500,-2.703,0.775,-51.405 
-210.937500,-750.000000,15984.375000,-2.708,0.775,-51.405 
-140.625000,-843.750000,15773.437500,-2.714,0.775,-51.405 
-335.937500,-804.687500,15781.250000,-2.714,0.780,-51.405 
-257.812500,-835.937500,16007.812500,-2.714,0.775,-51.405 
-335.937500,-742.187500,16054.687500,-2.708,0.775,-51.405 
-148.437500,-710.937500,16203.125000,-2.703,0.775,-51.405 
-85.937500,-718.750000,16218.750000,-2.703,0.769,-51.405 
-210.937500,-765.625000,16070.312500,-2.714,0.775,-51.405 
-359.375000,-804.687500,15882.812500,-2.714,0.780,-51.405 
-187.500000,-789.062500,15781.250000,-2.714,0.780,-51.405 
-125.000000,-765.625000,15906.250000,-2.714,0.775,-51.405 
-210.937500,-679.687500,16171.875000,-2.708,0.775,-51.405 
-210.937500,-718.750000,16164.062500,-2.703,0.775,-51.405 
-203.125000,-703.125000,16179.687500,-2.708,0.775,-5-289.062500,-843.750000,15992.187500,-2.714,0.775,-51.405 
-281.250000,-828.125000,15656.250000,-2.714,0.780,-51.405 
-218.750000,-812.500000,15781.250000,-2.714,0.775,-51.405 
-171.875000,-750.000000,15851.562500,-2.708,0.775,-51.405 
-242.187500,-695.312500,16085.937500,-2.703,0.775,-51.405 
-210.937500,-781.250000,16242.187500,-2.703,0.775,-51.405 
-203.125000,-750.000000,16039.062500,-2.708,0.775,-51.405 
-125.000000,-789.062500,15812.500000,-2.714,0.775,-51.405 
-203.125000,-781.250000,15796.875000,-2.714,0.780,-51.405 
-343.750000,-703.125000,16046.875000,-2.714,0.780,-51.405 
-187.500000,-750.000000,16070.312500,-2.708,0.775,-51.405 
-289.062500,-671.875000,16093.750000,-2.703,0.775,-51.405 
-78.125000,-765.625000,16125.000000,-2.708,0.775,-51.405 
-187.500000,-687.500000,16257.812500,-2.708,0.775,-51.405 
-382.812500,-781.250000,15953.125000,-2.714,0.780,-51.405 
-195.312500,-820.312500,15703.125000,-2.714,0.780,-51.405 
-304.687500,-757.812500,15906.250000,-2.708,0.77505 
-78.125000,-773.437500,15859.375000,-2.708,0.775,-51.405 
-195.312500,-671.875000,16281.250000,-2.703,0.775,-51.405 
-187.500000,-726.562500,16250.000000,-2.708,0.775,-51.405 
-179.687500,-781.250000,16000.000000,-2.714,0.775,-51.405 
-289.062500,-804.687500,15914.062500,-2.714,0.775,-51.405 
-257.812500,-820.312500,15671.875000,-2.714,0.775,-51.405 
-195.312500,-742.187500,15968.750000,-2.708,0.775,-51.405 
-156.250000,-679.687500,16156.250000,-2.703,0.775,-51.405 
-195.312500,-750.000000,16320.312500,-2.703,0.775,-51.405 
-210.937500,-742.187500,16187.500000,-2.708,0.775,-51.405 
-218.750000,-757.812500,15898.437500,-2.708,0.775,-51.405 
-218.750000,-773.437500,15820.312500,-2.714,0.775,-51.405 
-273.437500,-789.062500,16000.000000,-2.714,0.775,-51.405 
-257.812500,-781.250000,16078.125000,-2.708,0.775,-51.405 
-195.312500,-703.125000,16109.375000,-2.703,0.775,-51.405 
-164.062500,-703.125000,15953.125000,-2.703,0.775,-51.405 
-70.312500,-757.812500,15992.187500,-2.708,0.1.405 
-250.000000,-796.875000,15929.687500,-2.714,0.775,-51.405 
-359.375000,-843.750000,15796.875000,-2.714,0.775,-51.405 
-265.625000,-804.687500,15882.812500,-2.708,0.775,-51.405 
-210.937500,-695.312500,16109.375000,-2.703,0.775,-51.405 
-140.625000,-718.750000,16281.250000,-2.703,0.775,-51.405 
-195.312500,-742.187500,16140.625000,-2.708,0.769,-51.405 
-171.875000,-828.125000,15992.187500,-2.714,0.775,-51.405 
-281.250000,-820.312500,15890.625000,-2.714,0.775,-51.405 
-210.937500,-789.062500,15742.187500,-2.714,0.775,-51.405 
-164.062500,-742.187500,15945.312500,-2.714,0.775,-51.405 
-203.125000,-687.500000,16070.312500,-2.703,0.769,-51.405 
-210.937500,-664.062500,16203.125000,-2.703,0.769,-51.405 
-218.750000,-757.812500,16179.687500,-2.708,0.769,-51.405 
-273.437500,-843.750000,15789.062500,-2.714,0.775,-51.405 
-257.812500,-851.562500,15601.562500,-2.714,0.775,-51.405 
-195.312500,-828.125000,15796.875000,-2.714,0.775,-51.405 
-210.937500,-796.875000,15968.750000,-2.75,-51.405 
-250.000000,-695.312500,16203.125000,-2.703,0.775,-51.405 
-7.812500,-710.937500,16117.187500,-2.703,0.769,-51.405 
-109.375000,-773.437500,16062.500000,-2.708,0.769,-51.405 
-187.500000,-781.250000,15882.812500,-2.714,0.775,-51.405 
-210.937500,-835.937500,15921.875000,-2.714,0.775,-51.405 
-250.000000,-765.625000,15937.500000,-2.714,0.775,-51.405 
-242.187500,-718.750000,15968.750000,-2.708,0.775,-51.405 
-195.312500,-726.562500,16117.187500,-2.703,0.769,-51.405 
-164.062500,-679.687500,16148.437500,-2.708,0.769,-51.405 
-265.625000,-765.625000,15984.375000,-2.708,0.769,-51.405 
-281.250000,-835.937500,15851.562500,-2.714,0.775,-51.405 
-328.125000,-820.312500,15843.750000,-2.714,0.775,-51.405 
-210.937500,-781.250000,15750.000000,-2.708,0.775,-51.405 
-265.625000,-671.875000,15968.750000,-2.708,0.769,-51.405 
-218.750000,-703.125000,16367.187500,-2.703,0.769,-51.405 
-132.812500,-781.250000,16109.375000,-2.708,0.769,-51.405 
-304.687500,-773.437500,16023.437500,-205 
-195.312500,-828.125000,15687.500000,-2.714,0.775,-51.405 
-257.812500,-789.062500,15671.875000,-2.714,0.775,-51.405 
-250.000000,-750.000000,16156.250000,-2.714,0.775,-51.405 
-187.500000,-750.000000,16171.875000,-2.708,0.769,-51.405 
-226.562500,-695.312500,16210.937500,-2.708,0.769,-51.405 
-164.062500,-773.437500,16031.250000,-2.708,0.769,-51.405 
-187.500000,-812.500000,15820.312500,-2.714,0.775,-51.405 
-320.312500,-804.687500,15937.500000,-2.714,0.775,-51.405 
-265.625000,-804.687500,15968.750000,-2.714,0.775,-51.405 
-273.437500,-710.937500,16039.062500,-2.708,0.775,-51.405 
-148.437500,-750.000000,16046.875000,-2.708,0.769,-51.405 
-164.062500,-750.000000,16085.937500,-2.708,0.769,-51.405 
-187.500000,-781.250000,16031.250000,-2.708,0.769,-51.405 
-296.875000,-843.750000,15875.000000,-2.714,0.775,-51.405 
-351.562500,-789.062500,15890.625000,-2.719,0.775,-51.405 
-156.250000,-718.750000,15820.312500,-2.714,0.775,-51.405 
-109.375000,-703.125000,16015.625000,-2.708,-51.405 
-171.875000,-679.687500,16367.187500,-2.703,0.769,-51.405 
-140.625000,-773.437500,16257.812500,-2.708,0.775,-51.405 
-281.250000,-750.000000,16179.687500,-2.714,0.775,-51.405 
-234.375000,-820.312500,15734.375000,-2.714,0.775,-51.405 
-187.500000,-804.687500,15695.312500,-2.719,0.775,-51.405 
-234.375000,-726.562500,16000.000000,-2.708,0.775,-51.405 
-210.937500,-742.187500,16085.937500,-2.703,0.775,-51.405 
-289.062500,-695.312500,16203.125000,-2.703,0.775,-51.405 
-164.062500,-750.000000,16242.187500,-2.703,0.775,-51.405 
-109.375000,-789.062500,15789.062500,-2.714,0.775,-51.405 
-265.625000,-843.750000,15757.812500,-2.714,0.775,-51.405 
-281.250000,-804.687500,15781.250000,-2.714,0.775,-51.405 
-289.062500,-726.562500,16039.062500,-2.708,0.775,-51.405 
-171.875000,-671.875000,16140.625000,-2.708,0.775,-51.405 
-109.375000,-703.125000,16171.875000,-2.703,0.769,-51.405 
-132.812500,-726.562500,16117.187500,-2.708,0.775,-51.405 
-226.562500,-796.875000,16007.812500,-2775,-51.405 
-343.750000,-835.937500,15875.000000,-2.714,0.780,-51.405 
-304.687500,-757.812500,15742.187500,-2.714,0.775,-51.405 
-203.125000,-703.125000,15804.687500,-2.703,0.775,-51.405 
-179.687500,-679.687500,16078.125000,-2.703,0.775,-51.405 
-179.687500,-742.187500,16312.500000,-2.703,0.775,-51.405 
-203.125000,-757.812500,15992.187500,-2.708,0.775,-51.405 
-289.062500,-812.500000,15773.437500,-2.714,0.775,-51.405 
-242.187500,-828.125000,15687.500000,-2.714,0.775,-51.405 
-179.687500,-804.687500,15703.125000,-2.708,0.775,-51.405 
-265.625000,-679.687500,16234.375000,-2.703,0.775,-51.405 
-179.687500,-718.750000,16281.250000,-2.703,0.775,-51.405 
-171.875000,-726.562500,16109.375000,-2.703,0.769,-51.405 
-117.187500,-765.625000,16023.437500,-2.708,0.769,-51.405 
-242.187500,-789.062500,15804.687500,-2.714,0.775,-51.405 
-296.875000,-796.875000,15890.625000,-2.714,0.775,-51.405 
-218.750000,-734.375000,15992.187500,-2.703,0.775,-51.405 
-304.687500,-695.312500,16101.562503,0.775,-51.405 
-132.812500,-687.500000,16109.375000,-2.703,0.769,-51.405 
-140.625000,-750.000000,16031.250000,-2.703,0.769,-51.405 
-281.250000,-757.812500,16015.625000,-2.708,0.775,-51.405 
-265.625000,-835.937500,15851.562500,-2.714,0.775,-51.405 
-281.250000,-796.875000,15820.312500,-2.708,0.775,-51.405 
-242.187500,-757.812500,15828.125000,-2.708,0.775,-51.405 
-179.687500,-726.562500,16148.437500,-2.703,0.769,-51.405 
