ax,ay,az,gx,gy,gz,mx,my,mz
803,-166,16989,0.001601,0.003735,-0.000534,52,-45,-30
802,-174,16993,0.001601,0.003735,-0.001067,52,-45,-30
808,-165,16999,0.001601,0.003735,-0.001067,51,-45,-30
810,-161,16985,0.001601,0.003735,-0.001067,51,-45,-29
803,-155,16988,0.001601,0.003735,-0.001067,51,-45,-29
789,-152,17000,0.001601,0.003201,-0.001067,51,-45,-30
797,-153,17023,0.001601,0.003201,-0.001067,51,-45,-29
793,-149,17025,0.002134,0.003201,-0.001067,52,-45,-29
786,-144,17036,0.002134,0.003201,-0.001067,51,-45,-29
780,-137,17027,0.002134,0.003201,-0.001067,52,-44,-29
772,-151,17025,0.002134,0.003201,-0.001067,52,-45,-29
774,-161,17038,0.002134,0.003201,-0.000534,53,-44,-29
771,-174,17042,0.002134,0.003201,-0.000534,52,-44,-29
777,-186,17054,0.002134,0.003201,-0.000534,52,-45,-29
777,-186,17048,0.002134,0.003201,-0.000534,52,-45,-29
787,-188,17051,0.001601,0.003201,-0.000534,52,-45,-29
790,-180,17044,0.002134,0.003201,-0.000534,52,-45,-30
800,-185,17033,0.002134,0.003201,-0.000534,52,-45,-30
800,-175,17017,0.002134,0.003201,-0.000534,52,-45,-29
796,-171,17016,0.002134,0.003201,-0.000534,52,-45,-30
802,-156,17005,0.002134,0.003201,-0.000534,52,-45,-29
806,-145,16985,0.002134,0.003201,-0.000534,52,-45,-30
806,-140,16989,0.002134,0.003201,-0.000534,52,-45,-30
802,-142,16995,0.002134,0.003201,-0.000534,52,-45,-30
793,-151,16998,0.002134,0.003201,-0.000534,52,-45,-30
783,-155,17018,0.002134,0.003201,-0.000534,52,-45,-30
784,-156,17042,0.002134,0.003201,-0.000534,51,-45,-30
795,-151,17042,0.002134,0.003201,-0.000534,51,-45,-30
793,-158,17036,0.002134,0.003201,-0.000534,51,-45,-30
789,-166,17048,0.002134,0.003201,-0.000534,51,-45,-30
786,-166,17037,0.002134,0.003201,-0.000534,51,-45,-30
783,-166,17018,0.002134,0.003201,-0.000534,51,-45,-30
803,-162,17025,0.002134,0.003201,-0.000534,51,-45,-30
814,-150,17000,0.002134,0.003735,-0.000534,51,-44,-30
819,-145,16998,0.002134,0.003735,-0.000534,50,-44,-30
805,-149,16989,0.002134,0.003735,-0.000534,50,-44,-30
808,-143,16981,0.002134,0.003735,-0.000534,50,-44,-30
808,-127,16980,0.002134,0.003735,-0.000534,50,-44,-29
816,-131,16971,0.002134,0.003735,-0.000534,50,-44,-29
817,-133,16974,0.002134,0.003735,-0.000534,50,-44,-29
801,-140,16976,0.002134,0.003735,-0.000534,51,-44,-29
797,-147,16994,0.002134,0.003735,-0.000534,51,-44,-29
805,-149,16985,0.001601,0.004268,-0.000534,51,-44,-29
812,-143,16998,0.001601,0.004802,-0.000534,52,-44,-29
