x,y,z
14.96,13.727,38.733
17.96,17.727,26.733
16.96,7.7267,22.733
3.96,10.727,18.733
4.96,12.727,28.733
-2.04,1.7267,24.733
-5.04,-12.273,15.733
-8.04,-13.273,-12.267
-19.04,-21.273,-16.267
-33.04,-27.273,-6.2667
-32.04,-20.273,-0.26667
-36.04,-23.273,-2.2667
-47.04,-25.273,-19.267
-40.04,-16.273,-4.2667
-52.04,-15.273,-10.267
-53.04,-12.273,-2.2667
-51.04,-7.2733,-4.2667
-34.04,-6.2733,-10.267
-28.04,-3.2733,-17.267
-29.04,-13.273,-12.267
-18.04,-9.2733,-5.2667
-16.04,-2.2733,-7.2667
-3.04,5.7267,-3.2667
1.96,1.7267,-9.2667
1.96,-1.2733,-11.267
-9.04,8.7267,-11.267
-4.04,3.7267,-0.26667
2.96,13.727,-16.267
-8.04,16.727,-16.267
-12.04,6.7267,-34.267
-10.04,8.7267,-34.267
-11.04,11.727,-30.267
-4.04,17.727,-16.267
-8.04,15.727,-20.267
-18.04,17.727,-21.267
-18.04,18.727,-17.267
-15.04,17.727,-18.267
-16.04,9.7267,-9.2667
-24.04,1.7267,5.7333
-26.04,-7.2733,10.733
-33.04,-13.273,0.73333
-24.04,-18.273,10.733
-22.04,-16.273,10.733
-17.04,-18.273,0.73333
-12.04,-14.273,11.733
-1.04,-6.2733,16.733
5.96,-4.2733,1.7333
5.96,7.7267,14.733
6.96,4.7267,21.733
8.96,7.7267,8.7333
10.96,13.727,4.7333
7.96,20.727,0.73333
4.96,13.727,-12.267
0.96,24.727,-10.267
-2.04,20.727,-11.267
-1.04,19.727,-7.2667
-2.04,18.727,-10.267
-6.04,21.727,-12.267
-7.04,14.727,-9.2667
-10.04,2.7267,12.733
-3.04,-2.2733,19.733
-15.04,-13.273,21.733
-19.04,4.7267,23.733
-17.04,-2.2733,5.7333
-14.04,6.7267,2.7333
-16.04,12.727,14.733
-14.04,16.727,10.733
-17.04,26.727,10.733
-30.04,27.727,6.7333
-8.04,26.727,14.733
-8.04,4.7267,5.7333
-9.04,10.727,0.73333
-12.04,6.7267,5.7333
-15.04,2.7267,-2.2667
-22.04,-4.2733,-0.26667
-21.04,-7.2733,14.733
-11.04,-2.2733,11.733
-20.04,7.7267,-13.267
