
-187.500000,-781.250000,15953.125000,-2.582,0.813,11.349 
-218.750000,-906.250000,15929.687500,-2.582,0.813,11.349 
-171.875000,-687.500000,15812.500000,-2.571,0.813,11.349 
-257.812500,-515.625000,16273.437500,-2.571,0.813,11.349 
-148.437500,-875.000000,16015.625000,-2.582,0.813,11.349 
-164.062500,-890.625000,15492.187500,-2.587,0.813,11.349 
-234.375000,-695.312500,15960.937500,-2.576,0.813,11.349 
-296.875000,-585.937500,16375.000000,-2.571,0.813,11.349 
-226.562500,-773.437500,15953.125000,-2.582,0.813,11.349 
-187.500000,-882.812500,15570.312500,-2.582,0.813,11.349 
-242.187500,-695.312500,16085.937500,-2.576,0.813,11.349 
-226.562500,-632.812500,16281.250000,-2.571,0.813,11.349 
-250.000000,-765.625000,15843.750000,-2.582,0.807,11.349 
-218.750000,-898.437500,15890.625000,-2.587,0.807,11.349 
-242.187500,-718.750000,16000.000000,-2.576,0.807,11.349 
-226.562500,-546.875000,16140.625000,-2.565,0.807,11.349 
-210.937500,-726.562500,16226.562500,-2.582,0.807,11.349 
-210.937500,-960.937500,15750.000000,-2.587,0.807,11.349 
-148.437500,-835.937500,15710.937500,-2.576,0.807,11.349 
-250.000000,-531.250000,16359.375000,-2.565,0.813,11.349 
-250.000000,-695.312500,16250.000000,-2.576,0.807,11.349 
-148.437500,-890.625000,15515.625000,-2.582,0.807,11.349 
-250.000000,-765.625000,15875.000000,-2.576,0.813,11.349 
-281.250000,-601.562500,16375.000000,-2.571,0.813,11.349 
-234.375000,-695.312500,15867.187500,-2.576,0.813,11.349 
-195.312500,-882.812500,15718.750000,-2.587,0.807,11.349 
-250.000000,-859.375000,16054.687500,-2.576,0.807,11.349 
-218.750000,-476.562500,16039.062500,-2.571,0.807,11.349 
-257.812500,-625.000000,16257.812500,-2.576,0.813,11.349 
-257.812500,-953.125000,15835.937500,-2.587,0.807,11.349 
-187.500000,-812.500000,15687.500000,-2.576,0.807,11.349 
-187.500000,-593.750000,16156.250000,-2.565,0.813,11.349 
-234.375000,-640.625000,16335.937500,-2.571,0.807,11.349 
-179.687500,-820.312500,15781.250000,-2.582,0.807,11.349 
-195.312500,-859.375000,15656.250000,-2.576,0.807,11.349 
-250.000000,-632.812500,16265.625000,-2.565,0.813,11.349 
-234.375000,-648.437500,16218.750000,-2.571,0.807,11.349 
-156.250000,-867.187500,15601.562500,-2.576,0.807,11.349 
-273.437500,-851.562500,15984.375000,-2.576,0.807,11.349 
-210.937500,-578.125000,16140.625000,-2.565,0.807,11.349 
-273.437500,-601.562500,16156.250000,-2.571,0.813,11.349 
-265.625000,-914.062500,15960.937500,-2.582,0.813,11.349 
-179.687500,-890.625000,15757.812500,-2.576,0.807,11.349 
-187.500000,-585.937500,15992.187500,-2.565,0.813,11.349 
-250.000000,-578.125000,16320.312500,-2.565,0.813,11.349 
-250.000000,-875.000000,15890.625000,-2.576,0.813,11.349 
-156.250000,-921.875000,15562.500000,-2.582,0.807,11.349 
-210.937500,-664.062500,16125.000000,-2.565,0.813,11.349 
-257.812500,-695.312500,16335.937500,-2.571,0.813,11.349 
-226.562500,-796.875000,15648.437500,-2.576,0.807,11.349 
-265.625000,-890.625000,15851.562500,-2.576,0.813,11.349 
-281.250000,-679.687500,16109.375000,-2.565,0.813,11.349 
-218.750000,-515.625000,16085.937500,-2.565,0.813,11.349 
-218.750000,-828.125000,16031.250000,-2.576,0.813,11.349 
-203.125000,-960.937500,15710.937500,-2.582,0.813,11.349 
-195.312500,-648.437500,15921.875000,-2.565,0.813,11.349 
-265.625000,-570.312500,16296.875000,-2.565,0.813,11.349 
-187.500000,-851.562500,16000.000000,-2.582,0.807,11.349 
-203.125000,-921.875000,15578.125000,-2.582,0.807,11.349 
-171.875000,-734.375000,15976.562500,-2.571,0.807,11.349 
-289.062500,-546.875000,16492.187500,-2.565,0.813,11.349 
-187.500000,-742.187500,15921.875000,-2.576,0.813,11.349 
-164.062500,-890.625000,15671.875000,-2.582,0.807,11.349 
-203.125000,-773.437500,16148.437500,-2.571,0.813,11.349 
