
726.562500,15796.875000,-2.384,0.549,-75.031 
-171.875000,-742.187500,15890.625000,-2.401,0.555,-75.031 
-140.625000,-656.250000,15765.625000,-2.401,0.549,-75.031 
-156.250000,-625.000000,16226.562500,-2.395,0.549,-75.031 
-125.000000,-718.750000,16156.250000,-2.395,0.549,-75.031 
-54.687500,-671.875000,15734.375000,-2.401,0.549,-75.031 
-210.937500,-687.500000,16000.000000,-2.401,0.555,-75.031 
-226.562500,-648.437500,16234.375000,-2.395,0.555,-75.031 
-62.500000,-648.437500,15960.937500,-2.395,0.549,-75.031 
-226.562500,-703.125000,15921.875000,-2.401,0.549,-75.031 
-257.812500,-687.500000,15929.687500,-2.401,0.555,-75.031 
-125.000000,-632.812500,16093.750000,-2.395,0.549,-75.031 
-156.250000,-679.687500,16187.500000,-2.395,0.549,-75.031 
-265.625000,-718.750000,15929.687500,-2.401,0.555,-75.031 
-171.875000,-664.062500,15835.937500,-2.395,0.555,-75.031 
-179.687500,-632.812500,16140.625000,-2.390,0.555,-75.031 
-218.750000,-710.937500,16289.062500,-2.395,0.549,-75.031 
-101.562500,-820.312500,15906.250000,-2.406,0.555,-75.031 
-101.562500,-710.937500,15656.250000,-2.401,0.555,-75.031 
-164.062500,-640.625000,16343.750000,-2.395,0.555,-75.031 
-70.312500,-718.750000,16148.437500,-2.401,0.549,-75.031 
-39.062500,-671.875000,15781.250000,-2.406,0.555,-75.031 
-273.437500,-710.937500,15929.687500,-2.406,0.560,-75.031 
-78.125000,-671.875000,16054.687500,-2.395,0.555,-75.031 
-93.750000,-609.375000,16054.687500,-2.401,0.555,-75.031 
-234.375000,-742.187500,16078.125000,-2.406,0.560,-75.031 
-171.875000,-695.312500,15859.375000,-2.401,0.560,-75.031 
-125.000000,-632.812500,15960.937500,-2.395,0.555,-75.031 
-148.437500,-648.437500,16390.625000,-2.395,0.555,-75.031 
-156.250000,-734.375000,15937.500000,-2.406,0.555,-75.031 
-148.437500,-679.687500,15695.312500,-2.401,0.555,-75.031 
-179.687500,-632.812500,16171.875000,-2.395,0.555,-75.031 
-125.000000,-710.937500,16343.750000,-2.395,0.555,-75.031 
-31.250000,-726.562500,15859.375000,-2.401,0.555,-75.031 
-226.562500,-742.187500,15765.625000,-2.401,0.560,-75.031 
-187.500000,-687.500000,16117.187500,-2.395,0.555,-75.031 
0.000000,-625.000000,16070.312500,-2.395,0.555,-75.031 
-179.687500,-734.375000,15898.437500,-2.401,0.560,-75.031 
-234.375000,-664.062500,15875.000000,-2.406,0.555,-75.031 
-101.562500,-664.062500,15921.875000,-2.395,0.555,-75.031 
-125.000000,-640.625000,16234.375000,-2.395,0.555,-75.031 
-171.875000,-726.562500,16140.625000,-2.406,0.555,-75.031 
-117.187500,-734.375000,15757.812500,-2.406,0.555,-75.031 
-234.375000,-601.562500,15882.812500,-2.395,0.555,-75.031 
-164.062500,-656.250000,16460.937500,-2.395,0.549,-75.031 
-117.187500,-679.687500,15882.812500,-2.401,0.549,-75.031 
-171.875000,-656.250000,15765.625000,-2.406,0.555,-75.031 
-218.750000,-671.875000,16148.437500,-2.401,0.555,-75.031 
-85.937500,-648.437500,16195.312500,-2.395,0.549,-75.031 
-54.687500,-726.562500,16000.000000,-2.401,0.555,-75.031 
-281.250000,-726.562500,15968.750000,-2.406,0.560,-75.031 
-62.500000,-726.562500,15960.937500,-2.395,0.555,-75.031 
-15.625000,-664.062500,16101.562500,-2.395,0.555,-75.031 
