
-742.187500,15593.750000,-2.379,0.533,-75.558 
-15.625000,-757.812500,15765.625000,-2.395,0.538,-75.564 
-281.250000,-648.437500,15609.375000,-2.395,0.544,-75.564 
-140.625000,-664.062500,16250.000000,-2.384,0.538,-75.564 
62.500000,-656.250000,16140.625000,-2.384,0.533,-75.564 
-109.375000,-718.750000,15781.250000,-2.395,0.538,-75.564 
-351.562500,-734.375000,15945.312500,-2.395,0.544,-75.564 
-70.312500,-695.312500,15992.187500,-2.384,0.538,-75.564 
-148.437500,-625.000000,16187.500000,-2.384,0.538,-75.564 
-281.250000,-734.375000,16218.750000,-2.395,0.538,-75.564 
-148.437500,-742.187500,15640.625000,-2.395,0.538,-75.564 
-195.312500,-625.000000,15921.875000,-2.379,0.538,-75.564 
-210.937500,-648.437500,16554.687500,-2.384,0.538,-75.564 
-70.312500,-742.187500,15937.500000,-2.395,0.538,-75.564 
-93.750000,-710.937500,15531.250000,-2.395,0.538,-75.564 
-296.875000,-609.375000,16039.062500,-2.384,0.538,-75.564 
23.437500,-679.687500,16375.000000,-2.379,0.533,-75.564 
7.812500,-718.750000,15828.125000,-2.390,0.538,-75.564 
-320.312500,-718.750000,15750.000000,-2.395,0.544,-75.564 
-132.812500,-664.062500,15929.687500,-2.384,0.538,-75.564 
23.437500,-625.000000,16125.000000,-2.379,0.538,-75.564 
-218.750000,-656.250000,16054.687500,-2.390,0.544,-75.564 
-195.312500,-757.81275.564 
-140.625000,-710.937500,15835.937500,-2.384,0.538,-75.564 
-164.062500,-585.937500,16328.125000,-2.379,0.538,-75.564 
-132.812500,-703.125000,16359.375000,-2.390,0.538,-75.564 
-39.062500,-703.125000,15484.375000,-2.390,0.538,-75.564 
-257.812500,-671.875000,15875.000000,-2.384,0.544,-75.564 
-132.812500,-640.625000,16406.250000,-2.379,0.533,-75.564 
62.500000,-710.937500,15976.562500,-2.384,0.533,-75.564 
-203.125000,-687.500000,15656.250000,-2.390,0.544,-75.564 
-289.062500,-656.250000,16023.437500,-2.384,0.538,-75.564 
15.625000,-648.437500,16148.437500,-2.379,0.533,-75.564 
-62.500000,-695.312500,16054.687500,-2.384,0.538,-75.564 
-281.250000,-750.000000,15851.562500,-2.390,0.538,-75.564 
-54.687500,-726.562500,15734.375000,-2.384,0.533,-75.564 
-78.125000,-585.937500,16031.250000,-2.373,0.533,-75.564 
-203.125000,-671.875000,16445.312500,-2.384,0.533,-75.564 
-78.125000,-679.687500,15648.437500,-2.390,0.533,-75.564 
-226.562500,-671.875000,15742.187500,-2.384,0.538,-75.564 
-289.062500,-593.750000,16343.750000,-2.379,0.533,-75.564 
-23.437500,-625.000000,16281.250000,-2.384,0.533,-75.564 
-156.250000,-695.312500,15593.750000,-2.390,0.538,-75.564 
-367.187500,-718.750000,16070.312500,-2.384,0.538,-75.564 
-62.500000,-648.437500,16148.437500,-2.379,0.533,-75.564 
0.000000,-656.250000,16210.937500,-2.379,0.533,-75.564 
-273.437500,-750.000000,15765.625000,-2.390,0.538,-75.564 
-140.625000,-718.750000,15898.437500,-2.384,0.533,-75.564 
-23.437500,-625.000000,15867.187500,-2.373,0.533,-75.564 
-125.000000,-640.625000,16304.687500,-2.379,0.538,-75.564 
-109.375000,-757.812500,15890.625000,-2.390,0.538,-75.564 
-109.375000,-703.125000,15578.125000,-2.384,0.538,-75.564 
-242.187500,-617.187500,16023.437500,-2.379,0.538,-75.564 
-117.187500,-718.750000,16421.875000,-2.379,0.533,-75.564 
-7.812500,-687.500000,15687.500000,-2.390,0.533,-75.564 
-312.500000,-664.062500,15664.062500,-2.384,0.544,-75.564 
-210.937500,-601.562500,16250.000000,-2.373,0.533,-75.564 
70.312500,-601.562500,16070.312500,-2.379,0.533,-75.564 
-179.687500,-679.687500,15773.437500,-2.390,0.538,-75.564 
-289.062500,-781.250000,15835.937500,-2.390,0.544,-75.564 
-70.312500,-640.625000,15921.875000,-2.373,0.538,-75.564 
-125.000000,-570.312500,16257.812500,-2.373,0.538,-75.564 
-250.000000,-726.562500,16156.250000,-2.390,0.538,-75.564 
-117.187500,-726.562500,15562.500000,-2.390,0.538,-75.564 
-195.312500,-632.812500,15851.562500,-2.373,0.538,-75.564 
-234.375000,-640.625000,16531.250000,-2.373,0.538,-75.564 
-7.812500,-664.062500,15804.687500,-2.384,0.538,-75.564 
-148.437500,-695.312500,15492.187500,-2.384,0.544,-75.564 
-226.562500,-671.875000,15960.937500,-2.379,0.544,-75.564 
-7.812500,-632.812500,16335.937500,-2.373,0.533,-75.564 
-93.750000,-710.937500,15804.687500,-2.384,0.538,-75.564 
-289.062500,-742.187500,15726.562500,-2.390,0.544,-75.564 
-187.500000,-640.625000,16054.687500,-2.379,0.533,-75.564 
-23.437500,-562.500000,16046.875000,-2.373,0.533,-75.564 
-304.687500,-687.500000,16210.937500,-2.384,0.538,-75.564 
-210.937500,-781.250000,15812.500000,-2.390,0.538,-75.564 
-109.375000,-671.875000,15734.375000,-2.379,0.538,-75.564 
-226.562500,-609.375000,16367.187500,-2.373,0.538,-75.564 
-125.000000,-695.312500,16164.062500,-2.384,0.533,-75.564 
-85.937500,-703.125000,15507.812500,-2.390,0.538,-75.564 
-250.000000,-640.625000,15835.937500,-2.379,0.538,-75.564 
-101.562500,-640.625000,16406.250000,-2.373,0.533,-75.564 
31.250000,-664.062500,15765.625000,-2.384,0.533,-75.564 
-226.562500,-695.312500,15695.312500,-2.390,0.544,-75.564 
-257.812500,-671.875000,15898.437500,-2.384,0.538,-75.564 
7.812500,-625.000000,16054.687500,-2.373,0.538,-75.564 
-156.250000,-617.187500,16148.437500,-2.384,0.538,-75.564 
-187.500000,-742.187500,15789.062500,-2.390,0.544,-75.564 
-132.812500,-648.437500,15640.625000,-2.384,0.538,-75.564 
-140.625000,-593.750000,16078.125000,-2.373,0.538,-75.564 
-203.125000,-687.500000,16382.812500,-2.384,0.538,-75.564 
-117.187500,-671.875000,15656.250000,-2.390,0.538,-75.564 
-210.937500,-687.500000,15679.687500,-2.384,0.538,-75.564 
-234.375000,-625.000000,16382.812500,-2.373,0.538,-75.564 
-54.687500,-687.500000,16101.562500,-2.379,0.533,-75.564 
-132.812500,-687.500000,15632.812500,-2.390,0.538,-75.564 
-367.187500,-671.875000,15867.187500,-2.384,0.544,-75.564 
23.437500,-656.250000,16140.625000,-2.373,0.533,-75.564 
-39.062500,-648.437500,15960.937500,-2.379,0.538,-75.564 
-312.500000,-726.562500,15882.812500,-2.390,0.544,-75.564 
-101.562500,-648.437500,15890.625000,-2.390,0.538,-75.564 
-156.250000,-656.250000,16273.437500,-2.379,0.538,-75.564 
-179.687500,-750.000000,16210.937500,-2.384,0.538,-75.564 
-46.875000,-750.000000,15601.562500,-2.395,0.538,-75.564 
-210.937500,-656.250000,15789.062500,-2.390,0.538,-75.564 
-132.812500,-664.062500,16367.187500,-2.379,0.544,-75.564 
0.000000,-710.937500,16000.000000,-2.384,0.533,-75.564 
-62.500000,-640.625000,15617.187500,-2.390,0.538,-75.564 
-312.500000,-703.125000,15687.500000,-2.390,0.544,-75.564 
-54.687500,-664.062500,16398.437500,-2.379,0.538,-75.564 
-78.125000,-695.312500,16093.750000,-2.379,0.538,-75.564 
-195.312500,-718.750000,15835.937500,-2.390,0.538,-75.564 
-125.000000,-726.562500,15968.750000,-2.390,0.538,-75.564 
