x,y,z
674.23,-5.1533,-88.78
662.23,-12.153,-90.78
654.23,-23.153,-83.78
637.23,-41.153,-99.78
638.23,-49.153,-92.78
647.23,-59.153,-73.78
658.23,-55.153,-72.78
659.23,-43.153,-61.78
677.23,-37.153,-18.78
673.23,-38.153,9.22
658.23,-31.153,31.22
686.23,-8.1533,35.22
680.23,-6.1533,27.22
656.23,1.8467,-3.78
665.23,-0.15333,9.22
651.23,-11.153,-10.78
642.23,17.847,10.22
675.23,29.847,20.22
686.23,39.847,-26.78
659.23,18.847,-22.78
691.23,18.847,-6.78
704.23,19.847,7.22
686.23,20.847,0.22
709.23,25.847,23.22
701.23,-2.1533,-0.78
676.23,-7.1533,-30.78
689.23,-12.153,-25.78
693.23,-3.1533,-28.78
661.23,-15.153,-43.78
663.23,-22.153,-45.78
656.23,-23.153,-51.78
638.23,-22.153,-65.78
640.23,-21.153,-76.78
635.23,-22.153,-76.78
630.23,-20.153,-44.78
636.23,-38.153,-15.78
642.23,-27.153,-12.78
633.23,-31.153,-11.78
653.23,-37.153,0.22
653.23,-39.153,3.22
662.23,-36.153,11.22
669.23,-37.153,15.22
658.23,-35.153,-25.78
666.23,-6.1533,-57.78
667.23,1.8467,-63.78
667.23,3.8467,-81.78
665.23,10.847,-89.78
677.23,12.847,-77.78
663.23,8.8467,-62.78
668.23,4.8467,-54.78
667.23,5.8467,-49.78
655.23,-0.15333,-32.78
667.23,-18.153,-37.78
672.23,-13.153,-24.78
669.23,-14.153,-24.78
669.23,-21.153,-39.78
673.23,-5.1533,-41.78
669.23,-8.1533,-60.78
677.23,-3.1533,-54.78
676.23,2.8467,-56.78
676.23,3.8467,-37.78
664.23,-2.1533,-30.78
678.23,8.8467,-33.78
682.23,16.847,-52.78
673.23,1.8467,-70.78
678.23,8.8467,-55.78
695.23,3.8467,-48.78
665.23,0.84667,-58.78
662.23,13.847,-69.78
682.23,17.847,-84.78
652.23,11.847,-70.78
641.23,12.847,-56.78
650.23,20.847,-57.78
640.23,23.847,-63.78
617.23,26.847,-67.78
661.23,29.847,-52.78
654.23,23.847,-59.78
650.23,32.847,-53.78
672.23,27.847,-54.78
663.23,13.847,-50.78
653.23,11.847,-40.78
665.23,11.847,-47.78
665.23,14.847,-44.78
645.23,14.847,-41.78
646.23,9.8467,-20.78
640.23,-0.15333,-38.78
634.23,5.8467,-54.78
649.23,17.847,-54.78
653.23,7.8467,-59.78
640.23,8.8467,-54.78
648.23,5.8467,-42.78
655.23,-0.15333,-52.78
653.23,3.8467,-43.78
651.23,-0.15333,-16.78
650.23,-10.153,10.22
649.23,-11.153,9.22
654.23,-10.153,10.22
660.23,-24.153,10.22
645.23,-32.153,6.22
646.23,-29.153,10.22
660.23,-21.153,5.22
670.23,-11.153,-14.78
668.23,-8.1533,-34.78
664.23,-11.153,-27.78
666.23,-9.1533,-26.78
665.23,4.8467,-24.78
691.23,13.847,-17.78
691.23,9.8467,-14.78
683.23,-6.1533,-36.78
676.23,1.8467,-27.78
676.23,-0.15333,-9.78
671.23,0.84667,-4.78
674.23,11.847,3.22
677.23,7.8467,-6.78
661.23,3.8467,-22.78
661.23,7.8467,-37.78
657.23,9.8467,-29.78
656.23,0.84667,-19.78
656.23,7.8467,-23.78
670.23,16.847,-31.78
661.23,7.8467,-34.78
662.23,12.847,-22.78
663.23,10.847,-2.78
667.23,18.847,4.22
675.23,27.847,8.22
676.23,21.847,2.22
669.23,19.847,10.22
662.23,10.847,4.22
668.23,21.847,4.22
672.23,16.847,-10.78
673.23,17.847,-23.78
672.23,4.8467,-27.78
669.23,-1.1533,-22.78
675.23,5.8467,-31.78
688.23,3.8467,-56.78
680.23,5.8467,-53.78
680.23,-5.1533,-44.78
682.23,-0.15333,-40.78
680.23,7.8467,-61.78
679.23,7.8467,-49.78
682.23,13.847,-56.78
673.23,14.847,-38.78
672.23,24.847,-32.78
690.23,28.847,-29.78
691.23,22.847,-43.78
689.23,15.847,-39.78
691.23,8.8467,-32.78
691.23,16.847,-46.78
688.23,8.8467,-42.78
690.23,6.8467,-40.78
683.23,-0.15333,-38.78
675.23,-0.15333,-43.78
674.23,-1.1533,-67.78
667.23,2.8467,-66.78
662.23,-0.15333,-53.78
655.23,-2.1533,-47.78
654.23,8.8467,-64.78
660.23,3.8467,-71.78
665.23,6.8467,-68.78
658.23,31.847,-63.78
649.23,37.847,-41.78
640.23,41.847,-42.78
647.23,44.847,-48.78
643.23,34.847,-37.78
646.23,27.847,-17.78
640.23,27.847,-22.78
643.23,27.847,-31.78
649.23,2.8467,-35.78
650.23,-4.1533,-25.78
662.23,-18.153,-27.78
665.23,-16.153,-27.78
672.23,-10.153,-33.78
674.23,-15.153,-33.78
673.23,-21.153,-22.78
666.23,-23.153,-11.78
671.23,-21.153,-7.78
