x,y,z
26.993,49.94,-26.22
23.993,49.94,-30.22
19.993,8.94,-20.22
17.993,11.94,-15.22
23.993,10.94,7.78
31.993,13.94,13.78
29.993,20.94,8.78
19.993,11.94,14.78
11.993,9.94,38.78
25.993,14.94,41.78
24.993,19.94,33.78
19.993,16.94,59.78
19.993,16.94,84.78
-3.0067,16.94,63.78
-43.007,72.94,-16.22
-62.007,116.94,-68.22
-71.007,124.94,-79.22
-94.007,123.94,-76.22
-98.007,137.94,-103.22
-102.01,139.94,-138.22
-107.01,136.94,-168.22
-88.007,141.94,-146.22
-52.007,75.94,-75.22
-36.007,37.94,-16.22
-16.007,18.94,-3.22
-1.0067,17.94,-7.22
0.99333,19.94,23.78
8.9933,26.94,39.78
11.993,19.94,37.78
6.9933,13.94,51.78
13.993,14.94,62.78
18.993,2.94,55.78
9.9933,5.94,28.78
4.9933,8.94,45.78
6.9933,-1.06,34.78
15.993,-16.06,4.78
12.993,-10.06,-3.22
19.993,-10.06,3.78
17.993,-9.06,8.78
27.993,-1.06,0.78
23.993,-8.06,-5.22
29.993,-8.06,-16.22
29.993,-6.06,-5.22
23.993,0.94,12.78
28.993,-2.06,21.78
21.993,-5.06,-2.22
24.993,-1.06,-10.22
22.993,-2.06,-12.22
22.993,14.94,-13.22
24.993,11.94,-7.22
23.993,10.94,6.78
22.993,18.94,20.78
22.993,15.94,22.78
30.993,-3.06,24.78
26.993,-2.06,46.78
20.993,-5.06,51.78
21.993,-15.06,66.78
8.9933,-19.06,56.78
17.993,-25.06,62.78
18.993,-25.06,54.78
19.993,-22.06,54.78
7.9933,0.94,42.78
6.9933,3.94,10.78
9.9933,4.94,1.78
16.993,11.94,3.78
21.993,11.94,5.78
22.993,7.94,-23.22
15.993,4.94,-6.22
8.9933,25.94,-25.22
8.9933,27.94,0.78
4.9933,6.94,-4.22
-9.0067,1.94,0.78
-11.007,6.94,4.78
-4.0067,5.94,20.78
-6.0067,9.94,36.78
4.9933,1.94,27.78
13.993,-19.06,55.78
24.993,-26.06,37.78
23.993,-7.06,39.78
33.993,6.94,23.78
28.993,15.94,24.78
16.993,16.94,19.78
11.993,21.94,15.78
16.993,19.94,-5.22
13.993,21.94,-26.22
11.993,23.94,-27.22
19.993,25.94,-24.22
19.993,23.94,-10.22
19.993,-4.06,-0.22
29.993,-3.06,-11.22
30.993,-11.06,-23.22
23.993,-12.06,-18.22
27.993,-13.06,-20.22
24.993,-17.06,1.78
19.993,-22.06,-9.22
14.993,8.94,-1.22
15.993,27.94,-53.22
2.9933,39.94,-50.22
0.99333,54.94,-54.22
-11.007,58.94,-34.22
-24.007,76.94,-34.22
-24.007,90.94,-56.22
-27.007,88.94,-26.22
-10.007,59.94,-22.22
-19.007,37.94,6.78
-8.0067,5.94,36.78
-10.007,19.94,43.78
-9.0067,34.94,42.78
3.9933,15.94,67.78
5.9933,13.94,80.78
0.99333,5.94,76.78
-9.0067,0.94,89.78
13.993,25.94,103.78
20.993,48.94,94.78
27.993,24.94,124.78
29.993,4.94,129.78
27.993,6.94,126.78
25.993,1.94,109.78
26.993,1.94,68.78
18.993,6.94,45.78
11.993,-5.06,78.78
7.9933,-25.06,24.78
6.9933,-27.06,30.78
8.9933,-5.06,-4.22
17.993,-17.06,-23.22
32.993,-18.06,10.78
49.993,5.94,15.78
55.993,-12.06,30.78
55.993,0.94,-15.22
53.993,18.94,14.78
49.993,26.94,-17.22
56.993,27.94,42.78
41.993,37.94,44.78
34.993,35.94,13.78
24.993,23.94,31.78
29.993,41.94,36.78
29.993,20.94,39.78
44.993,46.94,56.78
37.993,28.94,61.78
39.993,20.94,37.78
28.993,19.94,65.78
26.993,25.94,60.78
28.993,23.94,35.78
14.993,23.94,10.78
7.9933,33.94,15.78
-0.0066667,26.94,-1.22
3.9933,39.94,-16.22
1.9933,27.94,-26.22
13.993,36.94,-48.22
5.9933,31.94,-45.22
14.993,14.94,-30.22
24.993,15.94,-15.22
20.993,5.94,-10.22
19.993,-8.06,-15.22
17.993,-14.06,-11.22
